Date,Home Odds,Vis Odds,Home,Visitor,Home PTS,Vis PTS,Home Points Dif,Home Win
2020-10-11,3.01,1.42,Miami Heat,Los Angeles Lakers,93.0,106.0,-13.0,False
2020-10-09,1.31,3.61,Los Angeles Lakers,Miami Heat,108.0,111.0,-3.0,False
2020-10-06,3.76,1.3,Miami Heat,Los Angeles Lakers,96.0,102.0,-6.0,False
2020-10-04,4.4,1.23,Miami Heat,Los Angeles Lakers,115.0,104.0,11.0,True
2020-10-02,1.17,5.43,Los Angeles Lakers,Miami Heat,124.0,114.0,10.0,True
2020-09-30,1.53,2.63,Los Angeles Lakers,Miami Heat,116.0,98.0,18.0,True
2020-09-27,2.26,1.69,Miami Heat,Boston Celtics,125.0,113.0,12.0,True
2020-09-26,1.47,2.79,Los Angeles Lakers,Denver Nuggets,117.0,107.0,10.0,True
2020-09-25,1.63,2.37,Boston Celtics,Miami Heat,121.0,108.0,13.0,True
2020-09-24,3.04,1.41,Denver Nuggets,Los Angeles Lakers,108.0,114.0,-6.0,False
2020-09-23,2.36,1.63,Miami Heat,Boston Celtics,112.0,109.0,3.0,True
2020-09-22,3.13,1.39,Denver Nuggets,Los Angeles Lakers,114.0,106.0,8.0,True
2020-09-20,1.33,3.51,Los Angeles Lakers,Denver Nuggets,105.0,103.0,2.0,True
2020-09-19,2.39,1.62,Miami Heat,Boston Celtics,106.0,117.0,-11.0,False
2020-09-18,1.34,3.4,Los Angeles Lakers,Denver Nuggets,126.0,114.0,12.0,True
2020-09-17,1.68,2.26,Boston Celtics,Miami Heat,101.0,106.0,-5.0,False
2020-09-15,1.31,3.61,Los Angeles Clippers,Denver Nuggets,89.0,104.0,-15.0,False
2020-09-15,1.77,2.12,Boston Celtics,Miami Heat,114.0,117.0,-3.0,False
2020-09-13,4.01,1.27,Denver Nuggets,Los Angeles Clippers,111.0,98.0,13.0,True
2020-09-12,1.4,3.08,Los Angeles Lakers,Houston Rockets,119.0,96.0,23.0,True
2020-09-11,2.25,1.69,Toronto Raptors,Boston Celtics,87.0,92.0,-5.0,False
2020-09-11,1.25,4.22,Los Angeles Clippers,Denver Nuggets,105.0,111.0,-6.0,False
2020-09-10,2.76,1.48,Houston Rockets,Los Angeles Lakers,100.0,110.0,-10.0,False
2020-09-09,3.57,1.32,Denver Nuggets,Los Angeles Clippers,85.0,96.0,-11.0,False
2020-09-09,1.69,2.25,Boston Celtics,Toronto Raptors,122.0,125.0,-3.0,False
2020-09-08,2.53,1.56,Houston Rockets,Los Angeles Lakers,102.0,112.0,-10.0,False
2020-09-08,2.81,1.47,Milwaukee Bucks,Miami Heat,94.0,103.0,-9.0,False
2020-09-07,4.46,1.23,Denver Nuggets,Los Angeles Clippers,107.0,113.0,-6.0,False
2020-09-07,2.04,1.82,Toronto Raptors,Boston Celtics,89.0,111.0,-22.0,False
2020-09-06,1.42,2.99,Los Angeles Lakers,Houston Rockets,117.0,109.0,8.0,True
2020-09-06,2.06,1.81,Miami Heat,Milwaukee Bucks,115.0,118.0,-3.0,False
2020-09-05,1.23,4.46,Los Angeles Clippers,Denver Nuggets,101.0,110.0,-9.0,False
2020-09-05,1.78,2.1,Boston Celtics,Toronto Raptors,93.0,100.0,-7.0,False
2020-09-04,1.34,3.45,Los Angeles Lakers,Houston Rockets,97.0,112.0,-15.0,False
2020-09-04,2.75,1.48,Miami Heat,Milwaukee Bucks,115.0,100.0,15.0,True
2020-09-03,1.22,4.65,Los Angeles Clippers,Denver Nuggets,120.0,97.0,23.0,True
