Team,W,L,W/L%,GB,PS/G,PA/G,SRS,Rk,Home1,Home2,Road1,Road2,E1,E2,W1,W2,A1,A2,C1,C2,SE1,SE2,NW1,NW2,P1,P2,SW1,SW2,Pre1,Pre2,Post1,Post2,≤31,≤32,≥101,≥102,Dec1,Dec2,Jan1,Jan2,Feb1,Feb2,Mar1,Mar2,Apr1,Apr2,MOV,ORtg,DRtg,NRtg,MOV/A,ORtg/A,DRtg/A,NRtg/A
Boston Celtics,39,27,.591,—,91.8,89.3,2.26,10.0,24.0,9.0,15.0,18.0,32.0,16.0,7.0,11.0,8.0,6.0,9.0,8.0,15.0,2.0,3.0,3.0,2.0,4.0,2.0,4.0,15.0,17.0,24.0,10.0,6.0,5.0,19.0,11.0,1.0,3.0,9.0,7.0,7.0,7.0,12.0,5.0,10.0,5.0,2.52,102.12,99.34,2.78,2.26,102.19,99.69,2.50
New York Knicks,36,30,.545,3.0,97.8,94.7,2.39,14.0,22.0,11.0,14.0,19.0,28.0,20.0,8.0,10.0,8.0,6.0,10.0,8.0,10.0,6.0,3.0,2.0,4.0,3.0,1.0,5.0,17.0,18.0,19.0,12.0,7.0,3.0,19.0,15.0,2.0,2.0,6.0,11.0,10.0,5.0,9.0,8.0,9.0,4.0,3.20,105.51,101.86,3.64,2.39,105.45,102.70,2.75
Philadelphia 76ers,35,31,.530,4.0,93.6,89.4,3.59,16.0,19.0,14.0,16.0,17.0,28.0,20.0,7.0,11.0,7.0,6.0,11.0,6.0,10.0,8.0,1.0,5.0,5.0,1.0,1.0,5.0,20.0,14.0,15.0,17.0,1.0,4.0,28.0,12.0,2.0,2.0,13.0,4.0,6.0,9.0,8.0,8.0,6.0,8.0,4.24,104.70,100.00,4.70,3.59,104.42,100.45,3.97
Toronto Raptors,23,43,.348,16.0,90.7,94.0,-3.67,24.0,13.0,20.0,10.0,23.0,15.0,33.0,8.0,10.0,7.0,8.0,4.0,12.0,4.0,13.0,3.0,3.0,2.0,3.0,3.0,4.0,10.0,23.0,13.0,20.0,1.0,7.0,12.0,21.0,1.0,2.0,6.0,13.0,4.0,9.0,6.0,11.0,6.0,8.0,-3.30,101.57,105.32,-3.74,-3.67,101.68,105.83,-4.14
Brooklyn Nets,22,44,.333,17.0,93.1,99.1,-6.37,25.0,9.0,24.0,13.0,20.0,16.0,32.0,6.0,12.0,5.0,9.0,5.0,12.0,6.0,11.0,0.0,6.0,5.0,2.0,1.0,4.0,10.0,25.0,12.0,19.0,6.0,2.0,8.0,26.0,1.0,3.0,6.0,12.0,4.0,10.0,8.0,10.0,3.0,9.0,-5.98,103.77,110.52,-6.75,-6.37,103.99,111.17,-7.18
Chicago Bulls,50,16,.758,—,96.3,88.2,7.43,1.0,26.0,7.0,24.0,9.0,38.0,10.0,12.0,6.0,13.0,4.0,13.0,1.0,12.0,5.0,2.0,3.0,5.0,1.0,5.0,2.0,27.0,8.0,23.0,8.0,5.0,2.0,31.0,8.0,3.0,1.0,15.0,4.0,11.0,3.0,13.0,3.0,8.0,5.0,8.18,108.22,98.89,9.33,7.43,108.21,99.72,8.49
Indiana Pacers,42,24,.636,8.0,97.7,94.4,2.60,5.0,23.0,10.0,19.0,14.0,29.0,19.0,13.0,5.0,11.0,7.0,9.0,4.0,9.0,8.0,5.0,1.0,4.0,2.0,4.0,2.0,21.0,12.0,21.0,12.0,4.0,3.0,21.0,12.0,3.0,1.0,11.0,5.0,8.0,6.0,8.0,9.0,12.0,3.0,3.30,107.63,103.94,3.69,2.59,107.68,104.77,2.91
Milwaukee Bucks,31,35,.470,19.0,99.0,98.7,-0.23,19.0,17.0,16.0,14.0,19.0,24.0,24.0,7.0,11.0,9.0,7.0,7.0,8.0,8.0,9.0,3.0,4.0,2.0,4.0,2.0,3.0,13.0,20.0,18.0,15.0,4.0,6.0,13.0,12.0,2.0,1.0,7.0,10.0,5.0,10.0,10.0,7.0,7.0,7.0,0.27,106.07,105.73,0.34,-0.23,106.13,106.34,-0.21
Detroit Pistons,25,41,.379,25.0,90.9,95.7,-5.19,22.0,18.0,15.0,7.0,26.0,20.0,28.0,5.0,13.0,7.0,9.0,4.0,11.0,9.0,8.0,1.0,5.0,3.0,3.0,1.0,5.0,11.0,24.0,14.0,17.0,7.0,4.0,12.0,27.0,1.0,3.0,3.0,16.0,8.0,6.0,7.0,8.0,6.0,8.0,-4.79,102.13,107.48,-5.35,-5.18,102.33,108.11,-5.78
Cleveland Cavaliers,21,45,.318,29.0,93.0,100.2,-7.34,27.0,11.0,22.0,10.0,23.0,13.0,35.0,8.0,10.0,6.0,12.0,3.0,12.0,4.0,11.0,3.0,3.0,3.0,3.0,2.0,4.0,13.0,18.0,8.0,27.0,5.0,6.0,9.0,26.0,1.0,2.0,7.0,10.0,5.0,8.0,4.0,13.0,4.0,12.0,-7.20,101.86,109.78,-7.92,-7.34,102.06,110.14,-8.08
Miami Heat,46,20,.697,—,98.5,92.5,5.72,4.0,28.0,5.0,18.0,15.0,35.0,13.0,11.0,7.0,14.0,3.0,12.0,5.0,9.0,5.0,3.0,3.0,3.0,3.0,5.0,1.0,27.0,7.0,19.0,13.0,6.0,2.0,29.0,10.0,4.0,0.0,12.0,5.0,11.0,2.0,10.0,6.0,9.0,7.0,5.98,107.66,101.10,6.56,5.72,107.97,101.71,6.26
Atlanta Hawks,40,26,.606,6.0,96.6,93.2,2.67,8.0,23.0,10.0,17.0,16.0,31.0,17.0,9.0,9.0,9.0,8.0,11.0,6.0,11.0,3.0,4.0,2.0,3.0,4.0,2.0,3.0,20.0,14.0,20.0,12.0,6.0,8.0,17.0,13.0,3.0,1.0,13.0,5.0,4.0,9.0,11.0,8.0,9.0,3.0,3.44,105.74,102.04,3.70,2.67,105.57,102.72,2.85
Orlando Magic,37,29,.561,9.0,94.2,93.4,0.46,12.0,21.0,12.0,16.0,17.0,30.0,18.0,7.0,11.0,10.0,6.0,12.0,5.0,8.0,7.0,2.0,5.0,4.0,1.0,1.0,5.0,22.0,13.0,15.0,16.0,2.0,5.0,18.0,16.0,3.0,1.0,9.0,8.0,11.0,4.0,9.0,7.0,5.0,9.0,0.79,105.65,104.87,0.78,0.46,105.77,105.36,0.41
Washington Wizards,20,46,.303,26.0,93.6,98.4,-5.14,29.0,11.0,22.0,9.0,24.0,16.0,32.0,4.0,14.0,4.0,14.0,5.0,11.0,7.0,7.0,2.0,4.0,1.0,5.0,1.0,5.0,7.0,26.0,13.0,20.0,6.0,5.0,11.0,26.0,0.0,3.0,4.0,14.0,3.0,11.0,5.0,11.0,8.0,7.0,-4.80,101.75,107.03,-5.28,-5.14,101.95,107.61,-5.66
Charlotte Hornets,7,59,.106,39.0,87.0,100.9,-13.96,30.0,4.0,29.0,3.0,30.0,5.0,43.0,2.0,16.0,3.0,14.0,1.0,15.0,1.0,14.0,0.0,6.0,1.0,4.0,1.0,6.0,4.0,28.0,3.0,31.0,2.0,4.0,2.0,38.0,1.0,2.0,2.0,17.0,1.0,10.0,3.0,14.0,0.0,16.0,-13.91,95.85,111.26,-15.41,-13.96,96.12,111.59,-15.46
Oklahoma City Thunder,47,19,.712,—,103.1,96.9,6.44,3.0,26.0,7.0,21.0,12.0,13.0,5.0,34.0,14.0,6.0,0.0,3.0,2.0,4.0,3.0,10.0,3.0,12.0,5.0,12.0,6.0,27.0,7.0,20.0,12.0,5.0,4.0,27.0,5.0,5.0,0.0,11.0,4.0,12.0,3.0,11.0,5.0,8.0,7.0,6.12,110.33,103.77,6.56,6.44,110.30,103.37,6.93
Denver Nuggets,38,28,.576,9.0,104.1,101.2,3.16,11.0,20.0,13.0,18.0,15.0,16.0,2.0,22.0,26.0,5.0,1.0,5.0,1.0,6.0,0.0,6.0,7.0,9.0,8.0,7.0,11.0,18.0,17.0,20.0,11.0,6.0,6.0,18.0,11.0,2.0,2.0,12.0,5.0,5.0,10.0,9.0,7.0,10.0,4.0,2.88,109.95,106.97,2.99,3.16,109.94,106.63,3.31
Utah Jazz,36,30,.545,11.0,99.7,99.0,0.92,15.0,25.0,8.0,11.0,22.0,11.0,7.0,25.0,23.0,3.0,4.0,4.0,2.0,4.0,1.0,9.0,4.0,9.0,9.0,7.0,10.0,15.0,17.0,21.0,13.0,7.0,6.0,15.0,14.0,1.0,3.0,11.0,4.0,4.0,11.0,11.0,8.0,9.0,4.0,0.62,107.51,106.91,0.60,0.92,107.34,106.40,0.94
Portland Trail Blazers,28,38,.424,19.0,97.2,97.8,-0.22,20.0,20.0,13.0,8.0,25.0,8.0,10.0,20.0,28.0,3.0,2.0,2.0,4.0,3.0,4.0,4.0,10.0,8.0,10.0,8.0,8.0,18.0,16.0,10.0,22.0,3.0,11.0,17.0,17.0,3.0,0.0,9.0,9.0,6.0,8.0,6.0,11.0,4.0,10.0,-0.62,106.56,107.24,-0.69,-0.21,106.40,106.64,-0.24
Minnesota Timberwolves,26,40,.394,21.0,97.9,100.1,-1.83,21.0,13.0,20.0,13.0,20.0,7.0,11.0,19.0,29.0,2.0,3.0,2.0,5.0,3.0,3.0,4.0,9.0,7.0,11.0,8.0,9.0,17.0,17.0,9.0,23.0,7.0,7.0,13.0,16.0,0.0,3.0,10.0,8.0,8.0,7.0,7.0,10.0,1.0,12.0,-2.20,104.85,107.00,-2.15,-1.83,104.65,106.40,-1.75
Los Angeles Lakers,41,25,.621,—,97.3,95.9,1.96,6.0,26.0,7.0,15.0,18.0,9.0,9.0,32.0,16.0,5.0,2.0,1.0,4.0,3.0,3.0,12.0,6.0,9.0,5.0,11.0,5.0,20.0,14.0,21.0,11.0,10.0,4.0,11.0,10.0,3.0,2.0,10.0,7.0,8.0,5.0,11.0,6.0,9.0,5.0,1.42,106.62,105.07,1.55,1.96,106.60,104.45,2.15
Los Angeles Clippers,40,26,.606,1.0,97.5,95.0,2.82,9.0,24.0,9.0,16.0,17.0,11.0,7.0,29.0,19.0,3.0,3.0,2.0,3.0,6.0,1.0,12.0,7.0,7.0,7.0,10.0,5.0,20.0,11.0,20.0,15.0,7.0,6.0,17.0,7.0,1.0,2.0,11.0,4.0,8.0,6.0,11.0,9.0,9.0,5.0,2.56,109.49,106.69,2.80,2.82,109.26,106.18,3.09
Phoenix Suns,33,33,.500,8.0,98.4,98.6,0.29,18.0,19.0,14.0,14.0,19.0,10.0,8.0,23.0,25.0,2.0,3.0,5.0,2.0,3.0,3.0,6.0,9.0,9.0,5.0,8.0,11.0,14.0,20.0,19.0,13.0,8.0,5.0,14.0,19.0,1.0,3.0,6.0,10.0,7.0,7.0,11.0,6.0,8.0,7.0,-0.24,106.96,107.10,-0.13,0.29,106.96,106.52,0.45
Golden State Warriors,23,43,.348,18.0,97.8,101.2,-2.79,23.0,12.0,21.0,11.0,22.0,7.0,11.0,16.0,32.0,1.0,6.0,3.0,3.0,3.0,2.0,6.0,11.0,7.0,8.0,3.0,13.0,13.0,17.0,10.0,26.0,5.0,12.0,7.0,16.0,2.0,2.0,5.0,10.0,7.0,6.0,6.0,12.0,3.0,13.0,-3.41,105.97,109.66,-3.69,-2.79,106.00,109.01,-3.01
Sacramento Kings,22,44,.333,19.0,98.8,104.4,-4.95,26.0,16.0,17.0,6.0,27.0,6.0,12.0,16.0,32.0,2.0,4.0,2.0,5.0,2.0,3.0,7.0,12.0,3.0,10.0,6.0,10.0,11.0,22.0,11.0,22.0,6.0,7.0,6.0,24.0,1.0,3.0,5.0,12.0,6.0,7.0,6.0,12.0,4.0,10.0,-5.68,104.46,110.43,-5.98,-4.95,104.59,109.76,-5.17
San Antonio Spurs,50,16,.758,—,103.7,96.5,7.28,2.0,28.0,5.0,22.0,11.0,15.0,3.0,35.0,13.0,6.0,0.0,4.0,2.0,5.0,1.0,10.0,6.0,13.0,3.0,12.0,4.0,24.0,10.0,26.0,6.0,5.0,4.0,31.0,7.0,3.0,1.0,10.0,8.0,11.0,2.0,12.0,3.0,14.0,2.0,7.17,111.45,103.83,7.62,7.28,111.35,103.60,7.75
Memphis Grizzlies,41,25,.621,9.0,95.0,93.0,2.43,7.0,26.0,7.0,15.0,18.0,15.0,3.0,26.0,22.0,4.0,2.0,6.0,1.0,5.0,0.0,10.0,7.0,9.0,7.0,7.0,8.0,19.0,15.0,22.0,10.0,6.0,2.0,16.0,10.0,1.0,2.0,10.0,8.0,9.0,5.0,8.0,7.0,13.0,3.0,2.02,104.81,102.57,2.24,2.43,104.59,101.89,2.70
Dallas Mavericks,36,30,.545,14.0,95.8,94.8,1.78,13.0,23.0,10.0,13.0,20.0,10.0,8.0,26.0,22.0,5.0,2.0,2.0,3.0,3.0,3.0,10.0,8.0,8.0,9.0,8.0,5.0,21.0,13.0,15.0,17.0,7.0,8.0,16.0,15.0,1.0,3.0,13.0,5.0,7.0,7.0,9.0,8.0,6.0,7.0,0.95,104.08,103.01,1.07,1.78,104.04,102.07,1.97
Houston Rockets,34,32,.515,16.0,98.1,97.9,0.57,17.0,22.0,11.0,12.0,21.0,11.0,7.0,23.0,25.0,4.0,2.0,2.0,3.0,5.0,2.0,8.0,10.0,9.0,7.0,6.0,8.0,20.0,14.0,14.0,18.0,8.0,5.0,13.0,13.0,2.0,2.0,10.0,7.0,9.0,6.0,7.0,9.0,6.0,8.0,0.23,106.42,106.11,0.31,0.57,106.27,105.58,0.69
New Orleans Pelicans,21,45,.318,29.0,89.6,93.4,-3.11,28.0,11.0,22.0,10.0,23.0,7.0,11.0,14.0,34.0,3.0,2.0,2.0,5.0,2.0,4.0,6.0,11.0,5.0,12.0,3.0,11.0,8.0,25.0,13.0,20.0,4.0,9.0,6.0,19.0,2.0,1.0,2.0,16.0,4.0,10.0,5.0,12.0,8.0,6.0,-3.76,101.82,105.98,-4.16,-3.11,101.68,105.11,-3.44
