Team,W,L,W/L%,GB,PS/G,PA/G,SRS,Rk,Home1,Home2,Road1,Road2,E1,E2,W1,W2,A1,A2,C1,C2,SE1,SE2,NW1,NW2,P1,P2,SW1,SW2,Pre1,Pre2,Post1,Post2,≤31,≤32,≥101,≥102,Oct1,Oct2,Nov1,Nov2,Dec1,Dec2,Jan1,Jan2,Feb1,Feb2,Mar1,Mar2,Jul1,Jul2,Aug1,Aug2,MOV,ORtg,DRtg,NRtg,MOV/A,ORtg/A,DRtg/A,NRtg/A
Toronto Raptors,53,19,.736,—,112.8,106.5,5.97,2.0,26.0,10.0,27.0,9.0,34.0,11.0,19.0,8.0,9.0,5.0,13.0,3.0,12.0,3.0,7.0,3.0,7.0,2.0,5.0,3.0,40.0,15.0,13.0,4.0,6.0,4.0,23.0,10.0,4.0,1.0,10.0,3.0,9.0,7.0,12.0,3.0,7.0,3.0,4.0,1.0,0.0,,7.0,1.0,6.24,112.02,105.85,6.18,5.97,111.99,106.08,5.90
Boston Celtics,48,24,.667,5.0,113.7,107.3,5.83,5.0,26.0,10.0,22.0,14.0,30.0,13.0,18.0,11.0,9.0,6.0,9.0,4.0,12.0,3.0,6.0,3.0,6.0,4.0,6.0,4.0,38.0,16.0,10.0,8.0,6.0,5.0,29.0,7.0,3.0,1.0,10.0,4.0,10.0,3.0,9.0,7.0,9.0,3.0,2.0,3.0,0.0,1.0,5.0,2.0,6.31,114.14,107.79,6.35,5.83,114.01,108.15,5.86
Philadelphia 76ers,43,30,.589,10.5,110.7,108.4,2.25,13.0,31.0,4.0,12.0,26.0,28.0,18.0,15.0,12.0,11.0,5.0,10.0,6.0,7.0,7.0,5.0,4.0,5.0,5.0,5.0,3.0,34.0,21.0,9.0,9.0,6.0,5.0,19.0,15.0,4.0,0.0,10.0,6.0,9.0,7.0,8.0,5.0,6.0,5.0,2.0,3.0,0.0,,4.0,4.0,2.38,112.09,109.77,2.32,2.25,112.15,109.97,2.18
Brooklyn Nets,35,37,.486,18.0,111.8,112.3,-1.01,14.0,20.0,16.0,15.0,21.0,23.0,23.0,12.0,14.0,6.0,10.0,8.0,4.0,9.0,9.0,2.0,7.0,6.0,2.0,4.0,5.0,25.0,28.0,10.0,9.0,7.0,7.0,17.0,19.0,1.0,3.0,9.0,6.0,6.0,7.0,5.0,10.0,5.0,7.0,4.0,1.0,0.0,1.0,5.0,2.0,-0.57,109.68,110.25,-0.57,-1.01,109.63,110.64,-1.01
New York Knicks,21,45,.318,29.0,105.8,112.3,-6.72,25.0,11.0,22.0,10.0,23.0,15.0,28.0,6.0,17.0,2.0,11.0,8.0,8.0,5.0,9.0,1.0,6.0,2.0,6.0,3.0,5.0,17.0,38.0,4.0,7.0,7.0,6.0,8.0,21.0,1.0,4.0,3.0,11.0,5.0,9.0,4.0,12.0,5.0,6.0,3.0,3.0,0.0,,0.0,,-6.45,107.10,113.52,-6.42,-6.72,106.91,113.60,-6.70
Milwaukee Bucks,56,17,.767,—,118.7,108.6,9.41,1.0,30.0,5.0,26.0,12.0,37.0,7.0,19.0,10.0,10.0,4.0,13.0,1.0,14.0,2.0,7.0,3.0,7.0,2.0,5.0,5.0,46.0,8.0,10.0,9.0,3.0,2.0,38.0,8.0,2.0,2.0,15.0,1.0,13.0,2.0,11.0,2.0,10.0,1.0,2.0,4.0,1.0,0.0,2.0,5.0,10.08,112.98,103.36,9.62,9.41,112.69,103.73,8.96
Indiana Pacers,45,28,.616,11.0,109.4,107.5,1.63,7.0,25.0,11.0,20.0,17.0,28.0,19.0,17.0,9.0,9.0,7.0,8.0,7.0,11.0,5.0,7.0,3.0,5.0,2.0,5.0,4.0,32.0,23.0,13.0,5.0,5.0,7.0,20.0,12.0,1.0,3.0,11.0,4.0,10.0,5.0,9.0,5.0,5.0,7.0,3.0,2.0,0.0,,6.0,2.0,1.96,110.90,108.77,2.12,1.63,110.94,109.17,1.77
Chicago Bulls,22,43,.338,30.0,106.8,109.9,-4.00,24.0,14.0,20.0,8.0,23.0,15.0,28.0,7.0,15.0,1.0,12.0,7.0,9.0,7.0,7.0,1.0,6.0,2.0,5.0,4.0,4.0,19.0,36.0,3.0,7.0,6.0,6.0,7.0,19.0,1.0,4.0,5.0,10.0,7.0,7.0,6.0,11.0,1.0,8.0,2.0,3.0,0.0,,0.0,,-3.08,107.60,110.74,-3.14,-4.00,107.22,111.29,-4.07
Detroit Pistons,20,46,.303,32.5,107.2,110.8,-4.38,27.0,11.0,22.0,9.0,24.0,12.0,31.0,8.0,15.0,3.0,11.0,5.0,10.0,4.0,10.0,1.0,7.0,4.0,3.0,3.0,5.0,19.0,38.0,1.0,8.0,4.0,6.0,9.0,26.0,2.0,3.0,4.0,10.0,6.0,9.0,5.0,11.0,3.0,8.0,0.0,5.0,0.0,,0.0,,-3.56,109.96,113.59,-3.63,-4.38,109.77,114.23,-4.45
Cleveland Cavaliers,19,46,.292,33.0,106.9,114.8,-7.77,28.0,11.0,25.0,8.0,21.0,12.0,32.0,7.0,14.0,2.0,14.0,4.0,10.0,6.0,8.0,4.0,4.0,0.0,4.0,3.0,6.0,14.0,40.0,5.0,6.0,5.0,5.0,6.0,28.0,2.0,2.0,3.0,12.0,5.0,9.0,3.0,13.0,4.0,7.0,2.0,3.0,0.0,,0.0,,-7.89,108.14,116.20,-8.05,-7.77,108.46,116.41,-7.94
