Team,W,L,W/L%,GB,PS/G,PA/G,SRS,Rk,Home1,Home2,Road1,Road2,E1,E2,W1,W2,A1,A2,C1,C2,SE1,SE2,NW1,NW2,P1,P2,SW1,SW2,Pre1,Pre2,Post1,Post2,≤31,≤32,≥101,≥102,Dec1,Dec2,Jan1,Jan2,Feb1,Feb2,Mar1,Mar2,Apr1,Apr2,May1,May2,MOV,ORtg,DRtg,NRtg,MOV/A,ORtg/A,DRtg/A,NRtg/A
Philadelphia 76ers,49,23,.681,—,113.6,108.1,5.28,3.0,29.0,7.0,20.0,16.0,31.0,11.0,18.0,12.0,10.0,2.0,8.0,7.0,13.0,2.0,5.0,5.0,6.0,4.0,7.0,3.0,24.0,12.0,25.0,11.0,7.0,3.0,27.0,12.0,4.0,1.0,11.0,5.0,7.0,6.0,10.0,3.0,10.0,6.0,7.0,2.0,5.58,114.13,108.51,5.62,5.28,113.96,108.66,5.30
Brooklyn Nets,48,24,.667,1.0,118.6,114.1,4.24,4.0,28.0,8.0,20.0,16.0,26.0,16.0,22.0,8.0,8.0,4.0,9.0,6.0,9.0,6.0,7.0,3.0,9.0,1.0,6.0,4.0,24.0,13.0,24.0,11.0,3.0,5.0,24.0,11.0,3.0,2.0,10.0,7.0,9.0,4.0,11.0,2.0,10.0,6.0,5.0,3.0,4.50,118.91,114.40,4.52,4.24,119.00,114.76,4.24
New York Knicks,41,31,.569,8.0,107.0,104.7,2.13,12.0,25.0,11.0,16.0,20.0,25.0,17.0,16.0,14.0,4.0,8.0,11.0,4.0,10.0,5.0,4.0,6.0,4.0,6.0,8.0,2.0,19.0,18.0,22.0,13.0,2.0,9.0,24.0,15.0,2.0,3.0,7.0,9.0,9.0,5.0,6.0,7.0,11.0,4.0,6.0,3.0,2.31,111.38,108.97,2.41,2.13,111.23,109.01,2.21
Boston Celtics,36,36,.500,13.0,112.6,111.2,1.32,16.0,21.0,15.0,15.0,21.0,20.0,22.0,16.0,14.0,4.0,8.0,7.0,8.0,9.0,6.0,6.0,4.0,6.0,4.0,4.0,6.0,19.0,17.0,17.0,19.0,7.0,5.0,17.0,12.0,3.0,2.0,7.0,6.0,7.0,9.0,6.0,8.0,11.0,5.0,2.0,6.0,1.46,114.66,113.29,1.37,1.32,114.69,113.47,1.22
Toronto Raptors,27,45,.375,22.0,111.3,111.7,-0.54,24.0,16.0,20.0,11.0,25.0,17.0,25.0,10.0,20.0,4.0,8.0,5.0,10.0,8.0,7.0,3.0,7.0,3.0,7.0,4.0,6.0,17.0,19.0,10.0,26.0,3.0,6.0,17.0,19.0,1.0,3.0,7.0,9.0,9.0,5.0,1.0,13.0,8.0,7.0,1.0,8.0,-0.47,112.96,113.44,-0.48,-0.54,113.00,113.55,-0.56
Milwaukee Bucks,46,26,.639,—,120.1,114.2,5.57,7.0,26.0,10.0,20.0,16.0,30.0,12.0,16.0,14.0,8.0,7.0,11.0,1.0,11.0,4.0,6.0,4.0,5.0,5.0,5.0,5.0,22.0,14.0,24.0,12.0,6.0,5.0,29.0,12.0,2.0,3.0,9.0,5.0,10.0,5.0,9.0,4.0,9.0,7.0,7.0,2.0,5.89,117.68,112.03,5.65,5.57,117.67,112.34,5.33
Indiana Pacers,34,38,.472,12.0,115.3,115.3,-0.13,18.0,13.0,23.0,21.0,15.0,20.0,22.0,14.0,16.0,5.0,10.0,7.0,5.0,8.0,7.0,5.0,5.0,2.0,8.0,7.0,3.0,16.0,19.0,18.0,19.0,5.0,4.0,15.0,17.0,4.0,1.0,7.0,8.0,4.0,8.0,6.0,8.0,8.0,8.0,5.0,5.0,-0.04,112.98,112.96,0.02,-0.12,112.99,113.07,-0.08
Chicago Bulls,31,41,.431,15.0,110.7,111.6,-0.94,21.0,15.0,21.0,16.0,20.0,21.0,21.0,10.0,20.0,7.0,8.0,7.0,5.0,7.0,8.0,3.0,7.0,1.0,9.0,6.0,4.0,16.0,18.0,15.0,23.0,3.0,5.0,16.0,20.0,2.0,3.0,5.0,8.0,8.0,6.0,4.0,10.0,7.0,10.0,5.0,4.0,-0.89,111.90,112.81,-0.91,-0.94,111.90,112.87,-0.97
Cleveland Cavaliers,22,50,.306,24.0,103.8,112.3,-8.19,26.0,13.0,23.0,9.0,27.0,16.0,26.0,6.0,24.0,8.0,7.0,4.0,8.0,4.0,11.0,2.0,8.0,0.0,10.0,4.0,6.0,14.0,22.0,8.0,28.0,4.0,2.0,11.0,37.0,3.0,2.0,6.0,9.0,4.0,10.0,4.0,9.0,4.0,12.0,1.0,8.0,-8.44,106.85,115.65,-8.80,-8.19,106.96,115.51,-8.55
Detroit Pistons,20,52,.278,26.0,106.6,111.1,-4.38,29.0,13.0,23.0,7.0,29.0,12.0,30.0,8.0,22.0,7.0,8.0,1.0,11.0,4.0,11.0,2.0,8.0,3.0,7.0,3.0,7.0,10.0,26.0,10.0,26.0,1.0,8.0,14.0,31.0,0.0,4.0,5.0,11.0,4.0,10.0,4.0,9.0,6.0,10.0,1.0,8.0,-4.47,108.90,113.53,-4.63,-4.38,108.93,113.48,-4.55
