Date,Home Odds,Vis Odds,Home,Visitor,Home PTS,Vis PTS
2018-06-08,2.43,1.61,Cleveland Cavaliers,Golden State Warriors,85,108
2018-06-06,2.28,1.68,Cleveland Cavaliers,Golden State Warriors,102,110
2018-06-03,1.18,5.27,Golden State Warriors,Cleveland Cavaliers,122,103
2018-05-31,1.12,7.15,Golden State Warriors,Cleveland Cavaliers,124,114 
2018-05-28,3.31,1.37,Houston Rockets,Golden State Warriors,92,101
2018-05-27,1.69,2.24,Boston Celtics,Cleveland Cavaliers,79,87
2018-05-26,1.11,7.64,Golden State Warriors,Houston Rockets,115,86
2018-05-25,1.31,3.70,Cleveland Cavaliers,Boston Celtics,109,99
2018-05-24,1.96,1.90,Houston Rockets,Golden State Warriors,98,94
2018-05-23,1.84,2.03,Boston Celtics,Cleveland Cavaliers,96,83
2018-05-22,1.25,4.32,Golden State Warriors,Houston Rockets,92,95
2018-05-21,1.31,3.64,Cleveland Cavaliers,Boston Celtics,111,102
2018-05-20,1.28,3.90,Golden State Warriors,Houston Rockets,126,85
2018-05-19,1.35,3.43,Cleveland Cavaliers,Boston Celtics,116,86
2018-05-16,1.80,2.07,Houston Rockets,Golden State Warriors,127,105
2018-05-15,1.92,1.94,Boston Celtics,Cleveland Cavaliers,107,94
2018-05-14,1.78,2.11,Houston Rockets,Golden State Warriors,106,119
2018-05-13,1.98,1.88,Boston Celtics,Cleveland Cavaliers,108,83
2018-05-09,1.82,2.05,Boston Celtics,Philadelphia 76ers,114,112
2018-05-08,1.11,7.21,Golden State Warriors,New Orleans Pelicans,113,104
2018-05-08,1.11,7.45,Houston Rockets,Utah Jazz,112,102
2018-05-07,1.47,2.78,Cleveland Cavaliers,Toronto Raptors,128,93
2018-05-07,1.31,3.66,Philadelphia 76ers,Boston Celtics,103,92
2018-05-06,3.21,1.37,Utah Jazz,Houston Rockets,87,100
2018-05-06,3.12,1.39,New Orleans Pelicans,Golden State Warriors,92,118
2018-05-05,1.52,2.63,Cleveland Cavaliers,Toronto Raptors,105,103
2018-05-05,1.20,4.84,Philadelphia 76ers,Boston Celtics,98,101 
2018-05-04,2.69,1.50,Utah Jazz,Houston Rockets,92,113
2018-05-04,2.83,1.46,New Orleans Pelicans,Golden State Warriors,119,100
2018-05-03,2.49,1.58,Boston Celtics,Philadelphia 76ers,108,103
2018-05-03,1.35,3.39,Toronto Raptors,Cleveland Cavaliers,110,128
2018-05-02,1.11,7.24,Houston Rockets,Utah Jazz,108,116
2018-05-01,1.13,6.61,Golden State Warriors,New Orleans Pelicans,121,116
2018-05-01,1.36,3.32,Toronto Raptors,Cleveland Cavaliers,112,113 
2018-04-30,2.72,1.49,Boston Celtics,Philadelphia 76ers,117,101
2018-04-29,1.11,7.39,Houston Rockets,Utah Jazz,110,96
2018-04-29,1.40,3.09,Cleveland Cavaliers,Indiana Pacers,105,101
2018-04-28,1.29,3.79,Golden State Warriors,New Orleans Pelicans,123,101
2018-04-28,1.49,2.73,Boston Celtics,Milwaukee Bucks,112,96
2018-04-27,1.35,3.37,Utah Jazz,Oklahoma City Thunder,96,91
2018-04-27,1.80,2.08,Indiana Pacers,Cleveland Cavaliers,121,87
2018-04-27,2.11,1.78,Washington Wizards,Toronto Raptors,92,102
2018-04-26,1.49,2.71,Milwaukee Bucks,Boston Celtics,97,86
2018-04-25,1.09,8.20,Houston Rockets,Minnesota Timberwolves,122,104
2018-04-25,1.69,2.25,Oklahoma City Thunder,Utah Jazz,107,99
2018-04-25,1.34,3.43,Cleveland Cavaliers,Indiana Pacers,98,95
2018-04-25,1.32,3.55,Toronto Raptors,Washington Wizards,108,98
2018-04-24,1.12,7.02,Golden State Warriors,San Antonio Spurs,99,91
2018-04-24,1.16,5.75,Philadelphia 76ers,Miami Heat,104,91
2018-04-24,1.52,2.65,Boston Celtics,Milwaukee Bucks,92,87
2018-04-23,1.49,2.72,Utah Jazz,Oklahoma City Thunder,113,96
2018-04-23,3.07,1.41,Minnesota Timberwolves,Houston Rockets,100,119
2018-04-22,2.04,1.83,Indiana Pacers,Cleveland Cavaliers,100,104
2018-04-22,2.03,1.83,Washington Wizards,Toronto Raptors,106,98
2018-04-22,3.35,1.35,San Antonio Spurs,Golden State Warriors,103,90
2018-04-22,1.43,2.96,Milwaukee Bucks,Boston Celtics,104,102
2018-04-21,1.46,2.83,Utah Jazz,Oklahoma City Thunder,115,102
2018-04-21,3.07,1.41,Minnesota Timberwolves,Houston Rockets,121,105
2018-04-21,1.37,3.29,New Orleans Pelicans,Portland Trail Blazers,131,123
2018-04-21,2.48,1.58,Miami Heat,Philadelphia 76ers,102,106
2018-04-20,1.46,2.83,Milwaukee Bucks,Boston Celtics,116,92
2018-04-20,1.89,1.97,Washington Wizards,Toronto Raptors,122,103
2018-04-20,1.82,2.04,Indiana Pacers,Cleveland Cavaliers,92,90
2018-04-19,2.42,1.61,San Antonio Spurs,Golden State Warriors,97,110
2018-04-19,1.61,2.42,New Orleans Pelicans,Portland Trail Blazers,119,102
2018-04-19,2.23,1.71,Miami Heat,Philadelphia 76ers,108,128
2018-04-18,1.13,6.42,Houston Rockets,Minnesota Timberwolves,102,82
2018-04-18,1.59,2.47,Oklahoma City Thunder,Utah Jazz,95,102
2018-04-18,1.23,4.35,Cleveland Cavaliers,Indiana Pacers,100,97
2018-04-17,1.36,3.33,Portland Trail Blazers,New Orleans Pelicans,102,111
2018-04-17,1.87,1.99,Boston Celtics,Milwaukee Bucks,120,106
2018-04-17,1.33,3.50,Toronto Raptors,Washington Wizards,130,119
2018-04-16,1.17,5.53,Golden State Warriors,San Antonio Spurs,116,101
2018-04-16,1.34,3.46,Philadelphia 76ers,Miami Heat,103,113
2018-04-15,1.09,8.25,Houston Rockets,Minnesota Timberwolves,104,101
2018-04-15,1.51,2.69,Oklahoma City Thunder,Utah Jazz,116,108
2018-04-15,1.28,3.89,Cleveland Cavaliers,Indiana Pacers,80,98
2018-04-15,1.59,2.47,Boston Celtics,Milwaukee Bucks,113,107 
2018-04-14,1.43,2.97,Portland Trail Blazers,New Orleans Pelicans,95,97
